date,open,high,low,close,volume,average,barCount
2020-06-23 15:03:00,24604.0,24611.0,24603.0,24606.0,45,24606.5,17
2020-06-23 15:04:00,24614.0,24614.0,24603.0,24603.0,97,24604.9,6
2020-06-23 15:05:00,24596.0,24600.0,24580.0,24584.0,47,24591.8,13
2020-06-23 15:06:00,24579.0,24594.0,24578.0,24589.0,92,24583.6,14
2020-06-23 15:07:00,24592.0,24606.0,24589.0,24606.0,31,24596.1,14
2020-06-23 15:08:00,24606.0,24643.0,24606.0,24643.0,72,24620.6,28
2020-06-23 15:09:00,24636.0,24639.0,24630.0,24634.0,48,24634.8,17
2020-06-23 15:10:00,24638.0,24641.0,24628.0,24631.0,60,24632.0,12
2020-06-23 15:11:00,24632.0,24642.0,24632.0,24640.0,106,24638.5,11
2020-06-23 15:12:00,24636.0,24641.0,24621.0,24641.0,26,24628.7,21
2020-06-23 15:13:00,24645.0,24647.0,24634.0,24643.0,62,24643.2,19
2020-06-23 15:14:00,24641.0,24656.0,24641.0,24656.0,37,24650.2,19
2020-06-23 15:15:00,24666.0,24684.0,24664.0,24684.0,34,24671.0,9
2020-06-23 15:16:00,24688.0,24694.0,24688.0,24691.0,44,24692.0,8
2020-06-23 15:17:00,24690.0,24703.0,24687.0,24687.0,59,24698.1,15
2020-06-23 15:18:00,24700.0,24700.0,24685.0,24692.0,14,24693.9,10
2020-06-23 15:19:00,24698.0,24706.0,24695.0,24695.0,32,24703.5,6
2020-06-23 15:20:00,24695.0,24712.0,24692.0,24712.0,36,24700.3,14
2020-06-23 15:21:00,24701.0,24710.0,24701.0,24704.0,22,24705.7,11
2020-06-23 15:22:00,24702.0,24702.0,24681.0,24688.0,63,24693.5,19
2020-06-23 15:23:00,24689.0,24689.0,24676.0,24676.0,11,24681.8,8
2020-06-23 15:24:00,24678.0,24685.0,24670.0,24678.0,110,24674.9,33
2020-06-23 15:25:00,24680.0,24680.0,24673.0,24673.0,26,24678.6,5
2020-06-23 15:26:00,24674.0,24681.0,24671.0,24671.0,55,24676.3,16
2020-06-23 15:27:00,24671.0,24679.0,24671.0,24679.0,26,24676.9,13
2020-06-23 15:28:00,24679.0,24684.0,24679.0,24683.0,59,24681.5,11
2020-06-23 15:29:00,24682.0,24691.0,24678.0,24686.0,165,24680.2,20
2020-06-23 15:30:00,24685.0,24685.0,24674.0,24681.0,22,24681.6,13
2020-06-23 15:31:00,24677.0,24686.0,24675.0,24683.0,35,24679.8,11
2020-06-23 15:32:00,24683.0,24699.0,24683.0,24692.0,56,24691.2,12
2020-06-23 15:33:00,24692.0,24701.0,24689.0,24695.0,32,24694.9,9
2020-06-23 15:34:00,24699.0,24701.0,24691.0,24692.0,56,24697.5,17
2020-06-23 15:35:00,24692.0,24697.0,24679.0,24683.0,30,24687.5,13
2020-06-23 15:36:00,24682.0,24683.0,24677.0,24677.0,239,24681.8,22
2020-06-23 15:37:00,24680.0,24681.0,24675.0,24679.0,40,24678.6,24
2020-06-23 15:38:00,24678.0,24682.0,24675.0,24676.0,14,24678.4,7
2020-06-23 15:39:00,24673.0,24677.0,24672.0,24673.0,51,24674.3,17
2020-06-23 15:40:00,24677.0,24681.0,24675.0,24678.0,21,24677.4,9
2020-06-23 15:41:00,24677.0,24683.0,24675.0,24681.0,34,24678.9,20
2020-06-23 15:42:00,24681.0,24682.0,24673.0,24677.0,433,24680.3,31
2020-06-23 15:43:00,24679.0,24688.0,24679.0,24688.0,7,24681.3,5
2020-06-23 15:44:00,24694.0,24697.0,24689.0,24689.0,17,24692.8,6
2020-06-23 15:45:00,24685.0,24686.0,24679.0,24686.0,34,24681.2,10
2020-06-23 15:46:00,24689.0,24695.0,24689.0,24695.0,9,24692.9,8
2020-06-23 15:47:00,24692.0,24696.0,24689.0,24689.0,23,24692.7,12
2020-06-23 15:48:00,24685.0,24686.0,24680.0,24684.0,39,24684.4,15
2020-06-23 15:49:00,24690.0,24690.0,24687.0,24689.0,66,24688.1,14
2020-06-23 15:50:00,24689.0,24695.0,24687.0,24690.0,28,24690.7,18
2020-06-23 15:51:00,24688.0,24693.0,24688.0,24690.0,152,24690.5,22
2020-06-23 15:52:00,24690.0,24695.0,24689.0,24695.0,20,24692.0,14
2020-06-23 15:53:00,24697.0,24697.0,24692.0,24695.0,20,24695.4,10
2020-06-23 15:54:00,24696.0,24711.0,24695.0,24706.0,125,24704.9,23
2020-06-23 15:55:00,24702.0,24719.0,24700.0,24717.0,335,24702.5,35
2020-06-23 15:56:00,24717.0,24718.0,24714.0,24718.0,57,24716.6,15
2020-06-23 15:57:00,24712.0,24724.0,24712.0,24724.0,23,24720.4,12
2020-06-23 15:58:00,24724.0,24724.0,24721.0,24722.0,17,24722.5,11
2020-06-23 15:59:00,24724.0,24725.0,24717.0,24723.0,81,24719.7,32
2020-06-23 16:00:00,24725.0,24733.0,24718.0,24718.0,63,24726.4,19
2020-06-23 16:01:00,24719.0,24719.0,24705.0,24707.0,16,24712.1,12
2020-06-23 16:02:00,24711.0,24711.0,24705.0,24705.0,38,24707.4,12
2020-06-23 16:03:00,24703.0,24709.0,24702.0,24705.0,35,24704.0,20
2020-06-23 16:04:00,24705.0,24723.0,24704.0,24721.0,27,24709.8,16
2020-06-23 16:05:00,24722.0,24747.0,24722.0,24737.0,43,24738.7,17
2020-06-23 16:06:00,24741.0,24750.0,24735.0,24750.0,19,24742.5,17
2020-06-23 16:07:00,24755.0,24761.0,24748.0,24748.0,22,24756.5,19
2020-06-23 16:08:00,24749.0,24774.0,24748.0,24766.0,99,24766.9,21
2020-06-23 16:09:00,24770.0,24782.0,24762.0,24770.0,258,24769.4,53
2020-06-23 16:10:00,24765.0,24784.0,24760.0,24779.0,35,24768.1,21
2020-06-23 16:11:00,24779.0,24779.0,24767.0,24772.0,13,24770.8,10
2020-06-23 16:12:00,24771.0,24776.0,24769.0,24774.0,17,24771.8,16
2020-06-23 16:13:00,24772.0,24772.0,24764.0,24770.0,9,24768.7,9
2020-06-23 16:14:00,24775.0,24775.0,24762.0,24762.0,109,24773.7,14
2020-06-23 16:15:00,24771.0,24780.0,24771.0,24773.0,91,24771.6,11
2020-06-23 16:16:00,24772.0,24772.0,24760.0,24763.0,7,24764.6,7
2020-06-23 16:17:00,24761.0,24763.0,24759.0,24762.0,7,24761.3,7
2020-06-23 16:18:00,24765.0,24767.0,24761.0,24761.0,8,24763.7,8
2020-06-23 16:19:00,24760.0,24763.0,24755.0,24763.0,31,24756.2,12
2020-06-23 16:20:00,24768.0,24769.0,24762.0,24767.0,8,24765.4,8
2020-06-23 16:21:00,24764.0,24769.0,24761.0,24767.0,9,24765.9,9
2020-06-23 16:22:00,24770.0,24770.0,24766.0,24766.0,7,24768.9,7
2020-06-23 16:23:00,24766.0,24772.0,24765.0,24771.0,10,24767.7,9
2020-06-23 16:24:00,24775.0,24779.0,24773.0,24774.0,6,24775.3,6
2020-06-23 16:25:00,24776.0,24782.0,24775.0,24782.0,102,24779.7,12
2020-06-23 16:26:00,24786.0,24793.0,24784.0,24793.0,31,24788.5,17
2020-06-23 16:27:00,24789.0,24800.0,24789.0,24799.0,23,24795.2,16
2020-06-23 16:28:00,24797.0,24797.0,24787.0,24790.0,54,24793.7,41
2020-06-23 16:29:00,24790.0,24793.0,24765.0,24773.0,134,24777.3,31
2020-06-24 09:15:00,24884.0,24950.0,24848.0,24874.0,340,24872.8,94
2020-06-24 09:16:00,24871.0,24913.0,24871.0,24902.0,70,24900.5,27
